               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,            0.035204,            0.012047,           0.0071183,             0.99506,                   1,               0.995,             0.66132,            0.015366,           0.0051941,           0.0027075,            0.007228,            0.007228,            0.007228
                 142,            0.035319,            0.010974,           0.0073025,             0.99275,                   1,               0.995,             0.64369,             0.01794,           0.0051502,           0.0025768,           0.0072082,           0.0072082,           0.0072082
                 143,            0.036696,            0.010724,           0.0060324,             0.98115,                   1,               0.995,             0.63855,            0.017373,           0.0050491,           0.0024553,           0.0071884,           0.0071884,           0.0071884
                 144,            0.032635,            0.010956,            0.008221,             0.98115,                   1,               0.995,             0.63855,            0.017373,           0.0050491,           0.0024553,           0.0071686,           0.0071686,           0.0071686
                 145,            0.033459,            0.011951,           0.0084244,             0.98633,                   1,               0.995,             0.70841,            0.015854,             0.00492,           0.0025958,           0.0071488,           0.0071488,           0.0071488
                 146,            0.035313,            0.010361,           0.0075863,             0.79443,                   1,             0.97642,             0.61343,            0.024685,           0.0051679,           0.0027668,            0.007129,            0.007129,            0.007129
                 147,            0.038278,            0.011838,           0.0091992,             0.99066,                   1,               0.995,              0.6372,            0.020116,           0.0052265,           0.0027768,           0.0071092,           0.0071092,           0.0071092
                 148,            0.031729,            0.010692,           0.0049765,             0.99066,                   1,               0.995,              0.6372,            0.020116,           0.0052265,           0.0027768,           0.0070894,           0.0070894,           0.0070894
                 149,            0.035179,            0.010559,            0.007642,             0.99315,                   1,               0.995,             0.67595,            0.018273,           0.0052366,           0.0029562,           0.0070696,           0.0070696,           0.0070696
                 150,            0.032045,           0.0097545,           0.0087867,             0.98727,                   1,               0.995,             0.57155,            0.019989,           0.0053739,           0.0033614,           0.0070498,           0.0070498,           0.0070498
                 151,            0.036539,            0.011556,            0.017012,             0.93594,                   1,             0.99125,             0.64298,            0.021142,           0.0054548,           0.0033317,             0.00703,             0.00703,             0.00703
                 152,            0.031522,            0.012928,           0.0067931,             0.93594,                   1,             0.99125,             0.64298,            0.021142,           0.0054548,           0.0033317,           0.0070102,           0.0070102,           0.0070102
                 153,            0.034867,            0.011396,           0.0089717,             0.97281,                   1,               0.995,             0.57551,            0.023467,           0.0055893,            0.003032,           0.0069904,           0.0069904,           0.0069904
                 154,            0.035228,            0.011947,            0.010732,             0.99408,                   1,               0.995,             0.63481,            0.017607,           0.0057736,            0.002964,           0.0069706,           0.0069706,           0.0069706
                 155,            0.038399,            0.011287,            0.006949,             0.98766,                   1,               0.995,             0.57601,            0.020565,           0.0057831,            0.003015,           0.0069508,           0.0069508,           0.0069508
                 156,            0.032173,            0.012714,           0.0078327,             0.98766,                   1,               0.995,             0.57601,            0.020565,           0.0057831,            0.003015,            0.006931,            0.006931,            0.006931
